Date ,startup_name,industry_vertical,SubVertical,Country,City /State Location,Investors_Name,Investment_Type,Amount_in_USD,Remarks
20-12-2019,Lenskart,E-Commerce,Online Eyewear Shopping Portal,India,Faridabad,SoftBank Vision Fund,Series G,"23,10,00,000",No Remark
17-12-2019,Healthians,FoodTech,Food Solutions For Corporate,India,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,"1,20,00,000",No Remark
16-12-2019,InCred,FinTech,Non-Banking Financial Company,India,Mumbai,Undisclosed,Debt Funding,"59,00,000",No Remark
16-12-2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,India,Bengaluru,Vertex Growth Fund,Series E,"3,00,00,000",No Remark
14-12-2019,Trell,Media & Entertainment,Experience Discovery Platform,India,Bengaluru,Ruizheng Investment,Seed Funding,"20,00,000",No Remark
13-12-2019,Rivigo,SaaS & Enterprise Tech,Logistics Services and Solutions,India,Gurugram,"SAIF Partners, Spring Canter Investment Ltd.",Series F,"2,00,00,000",No Remark
12-12-2019,Ecozen,SaaS & Enterprise Tech,Agritech,India,Pune,Sathguru Catalyzer Advisors,Series A,"60,00,000",No Remark
11-12-2019,Rein Games,Media & Entertainment,Real money based gaming startup,India,Noida,Manipal Education and Medical Group (MEMG),Seed Funding,"5,00,00,000",No Remark
06-12-2019,CarDekho,E-Commerce,Automobile,India,Gurugram,Ping An Global Voyager Fund,Series D,"7,00,00,000",No Remark
03-12-2019,Dhruva Space,Transport,Satellite Communication,India,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed Funding,"5,00,00,000",No Remark
25-11-2019,Paytm,FinTech,Mobile Wallet,India,Noida,Vijay Shekhar Sharma,Unclassified,"1,00,00,00,000",No Remark
20-11-2019,Aye Finance,FinTech,Financial Services To MSMEs,India,Gurugram,FinTech,Debt Funding,"1,74,11,265",No Remark
20-11-2019,Clumio,SaaS & Enterprise Tech,Recovery software,USA,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,"13,50,00,000",No Remark
19-11-2019,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,India,New Delhi,Amour Infrastructure,Seed Funding,"22,00,00,000",No Remark
19-11-2019,Furtados School of Music,EdTech,Music Education,India,Tulangan,IAN Fund and DSG Consumer Partners,Unclassified,"20,00,00,000",No Remark
18-11-2019,Healthians,HealthTech,Healthcare services,India,Gurugram,"DG Daiwa Ventures, DG Incubation",Series B,"1,20,00,000",No Remark
18-11-2019,Medikabazaar,HealthTech,B2B platform for medical supplies,India,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,"1,58,00,000",No Remark
17-11-2019,Burger Singh,FoodTech,Indian Burger Brand,India,Gurugram,RB Investments,Venture Capital,,No Remark
15-11-2019,Ninjacart,Consumer Internet,Agritech,India,Bengaluru,Trifecta Capital Advisors,Debt Funding,"2,60,00,000",No Remark
15-11-2019,Vogo Automotive,Logistics,Scooter sharing app,India,Bengaluru,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,"28,30,00,000",No Remark
14-11-2019,Misters,HealthTech,Men's Health and Wellness brand,India,Gurugram,"Sauce.vc, Rainforest Ventures",Series B,"4,86,000",No Remark
13-11-2019,Freshworks,SaaS & Enterprise Tech,Business and customer engagement tools,USA,San Francisco,"Sequoia, CapitalG, Accel",Series H,"15,00,00,000",No Remark
13-11-2019,Sunstone Eduversity Pvt. Ltd,EdTech,Elearning,India,Gurugram,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed Funding,"15,00,000",No Remark
12-11-2019,SuperGaming,Media & Entertainment,Social gaming platform,India,Pune,Dream Incubator,Seed Funding,"13,00,000",No Remark
11-11-2019,eBikeGo,Logistics,Electric bike rental,India,Amritsar,Startup Buddy,Seed Funding,"3,00,000",No Remark
21-10-2019,The Man Company,E-Commerce,Beauty and Grooming,India,Gurugram,Ayushmann Khurana,Corporate Round,,No Remark
04-10-2019,Dunzo,SaaS & Enterprise Tech,Delivery Service,India,Bengaluru,Lightbox,Series D,"4,50,00,000",No Remark
02-10-2019,Udaan,Consumer Internet,Business development,India,Bengaluru,"Altimeter Capital, DST Global",Series D,"58,50,00,000",No Remark
05-09-2019,FPL Technologies,FinTech,Financial Services,India,Pune,"Matrix Partners India, Sequoia India",Maiden Round,"45,00,000",No Remark
04-09-2019,3rdFlix,SaaS & Enterprise Tech,Education Technology,India,Hyderabad,Exfinity Venture Partners,Pre Series A,"50,00,000",No Remark
04-09-2019,75F,SaaS & Enterprise Tech,Building automation system,USA,Burnsville,Breakthrough Energy Ventures,Series A,"1,80,00,000",No Remark
04-09-2019,Atomberg Technology,SaaS & Enterprise Tech,"Consumer Electronics, Home Appliances",India,Mumbai,A91 Partners,Series A,"1,00,00,000",No Remark
04-09-2019,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,India,Mumbai,SAIF Partners,Series A,"33,00,000",No Remark
04-09-2019,Digital F5,Media & Entertainment,Digital marketing firm,India,Mumbai,TIW Private Equity,Private Equity ,"60,00,000",No Remark
04-09-2019,GOQii,HealthTech,Wearable Fitness Bands,USA,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,"45,00,00,000",No Remark
04-09-2019,Myelin Foundry,SaaS & Enterprise Tech,Deep-technology,India,Bengaluru,Endiya Partners,Seed Funding,"10,00,000",No Remark
03-09-2019,Vyapar App,FinTech,Mobile-based Accounting Software,India,Bengaluru,"India Quotient, Axilor Ventures",Series A,"50,00,000",No Remark
27-08-2019,Rapido Bike Taxi,Transport,Bike Taxi,India,Bengaluru,Westbridge Capital,Series B,"3,90,00,00,000",no Remark
23-08-2019,AdmitKard,EdTech,University Admissions,India,Noida,Growth DNA,Seed Funding,"10,00,000",no Remark
23-08-2019,Lo! Foods,E-Commerce,Low carb food for Diabetics,India,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Funding,"5,00,000",no Remark
23-08-2019,Tala,FinTech,Digital Lending Platform,USA,Santa Monica,RPS Ventures,Series D,"11,00,00,000",no Remark
23-08-2019,Zendrive,Transport,Road Safety Analytics,USA,San Francisco,XL Innovate,Series B,"3,70,00,000",no Remark
22-08-2019,INDwealth,FinTech,Wealth Management,India,Gurugram,Tiger Global Management,Venture Capital,"1,50,00,000",no Remark
21-08-2019,HungerBox,FoodTech,B2B Foodtech,India,Bengaluru,One97 Communications Ltd.,Series C,"65,90,000",no Remark
19-08-2019,Grofers,E-Commerce,Grocery Delivery,India,Gurugram,Softbank Vision Fund,Series F,"7,00,00,000",no Remark
19-08-2019,Mishry Reviews,Consumer Internet,Product Review,India,Gurugram,Vir Sanghvi,Series A,,no Remark
13-08-2019,Cars24,E-Commerce,Car Retail,India,Gurugram,MS Dhoni,Series D,"1,10,00,000",no Remark
13-08-2019,Uniphore,SaaS & Enterprise Tech,Conversational AI,USA,Palo Alto,March Capital Partners,Series C,"5,10,00,000",no Remark
12-08-2019,Meesho,E-Commerce,Social Commerce,India,Bengaluru,Naspers,Series D,"12,50,00,000",no Remark
01-08-2019,Alteria Capital,FinTech,VC Funds,India,Mumbai,"Azim Premji, Binny Bansal",Venture Capital,"14,00,00,000",no Remark
01-08-2019,CarDekho,E-Commerce,Automotive,India,Gurugram,SC GG India Mobility Holdings LLC,Series C,"2,00,00,000",no Remark
01-08-2019,MyPetrolPump,E-Commerce,Fuel Delivery,India,Bengaluru,Undisclosed,Seed Funding,"16,00,000",no Remark
01-08-2019,Pine Labs,SaaS & Enterprise Tech,Last-mile retail transaction technology,India,Noida,Pine Labs Pte Ltd,Corporate Round,"3,80,80,000",no Remark
01-08-2019,Progcap,FinTech,Supply Chain Management,India,New Delhi,Sequoia India,Series A,"50,00,000",no Remark
11-07-2019,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,Unknown,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,"6,00,00,000",no Remark
10-07-2019,Byjus,EdTech,Education,India,Bengaluru,Qatar Investment Authority,Private Equity ,"15,00,00,000",no Remark
10-07-2019,Ezyhaul,SaaS & Enterprise Tech,Logistics,Singapore,Unknown,Undisclosed,Series B,"1,60,00,000",no Remark
10-07-2019,HealthAssure,HealthTech,Primary care medical network,India,Mumbai,Blume Ventures,Series A,"25,00,000",no Remark
10-07-2019,Indus OS,SaaS & Enterprise Tech,Smartphone Operating System,India,Andheri,Ventureast,Series B,"57,50,000",no Remark
09-07-2019,House of Msasaba,E-Commerce,Clothes and Apparel,India,Mumbai,Binny Bansal,Series A,"10,00,000",no Remark
08-07-2019,Board Infinity,EdTech,Full-stack career platform,India,Mumbai,Multiple Angel Investors,Angel Funding,"3,19,605",no Remark
04-07-2019,Daalchini Technologies,FoodTech,Digital Vending Machine,India,New Delhi,Artha Venture,Seed Funding,"5,00,000",no Remark
