date,startup_name,industry_vertical,subvertical,country,city /state location,investors_name,investment_type,amount_in_usd,year,month
2019-12-20,Lenskart,E-Commerce,Online Eyewear Shopping Portal,India,Faridabad,SoftBank Vision Fund,Series G,231000000,2019,December
2019-12-17,Healthians,FoodTech,Food Solutions For Corporate,India,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000,2019,December
2019-12-16,InCred,FinTech,Non-Banking Financial Company,India,Mumbai,Undisclosed,Debt Funding,5900000,2019,December
2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,India,Bengaluru,Vertex Growth Fund,Series E,30000000,2019,December
2019-12-14,Trell,Media & Entertainment,Experience Discovery Platform,India,Bengaluru,Ruizheng Investment,Seed Funding,2000000,2019,December
2019-12-13,Rivigo,SaaS & Enterprise Tech,Logistics Services and Solutions,India,Gurugram,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000,2019,December
2019-12-12,Ecozen,SaaS & Enterprise Tech,Agritech,India,Pune,Sathguru Catalyzer Advisors,Series A,6000000,2019,December
2019-12-11,Rein Games,Media & Entertainment,Real money based gaming startup,India,Noida,Manipal Education and Medical Group (MEMG),Seed Funding,50000000,2019,December
2019-12-06,CarDekho,E-Commerce,Automobile,India,Gurugram,Ping An Global Voyager Fund,Series D,70000000,2019,December
2019-12-03,Dhruva Space,Transport,Satellite Communication,India,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed Funding,50000000,2019,December
2019-11-25,Paytm,FinTech,Mobile Wallet,India,Noida,Vijay Shekhar Sharma,Unclassified,1000000000,2019,November
2019-11-20,Aye Finance,FinTech,Financial Services To MSMEs,India,Gurugram,FinTech,Debt Funding,17411265,2019,November
2019-11-20,Clumio,SaaS & Enterprise Tech,Recovery software,USA,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135000000,2019,November
2019-11-19,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,India,New Delhi,Amour Infrastructure,Seed Funding,220000000,2019,November
2019-11-19,Furtados School of Music,EdTech,Music Education,India,Tulangan,IAN Fund and DSG Consumer Partners,Unclassified,200000000,2019,November
2019-11-18,Healthians,HealthTech,Healthcare services,India,Gurugram,"DG Daiwa Ventures, DG Incubation",Series B,12000000,2019,November
2019-11-18,Medikabazaar,HealthTech,B2B platform for medical supplies,India,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000,2019,November
2019-11-17,Burger Singh,FoodTech,Indian Burger Brand,India,Gurugram,RB Investments,Venture Capital,,2019,November
2019-11-15,Ninjacart,Consumer Internet,Agritech,India,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000000,2019,November
2019-11-15,Vogo Automotive,Logistics,Scooter sharing app,India,Bengaluru,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000,2019,November
2019-11-14,Misters,HealthTech,Men's Health and Wellness brand,India,Gurugram,"Sauce.vc, Rainforest Ventures",Series B,486000,2019,November
2019-11-13,Freshworks,SaaS & Enterprise Tech,Business and customer engagement tools,USA,San Francisco,"Sequoia, CapitalG, Accel",Series H,150000000,2019,November
2019-11-13,Sunstone Eduversity Pvt. Ltd,EdTech,Elearning,India,Gurugram,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed Funding,1500000,2019,November
2019-11-12,SuperGaming,Media & Entertainment,Social gaming platform,India,Pune,Dream Incubator,Seed Funding,1300000,2019,November
2019-11-11,eBikeGo,Logistics,Electric bike rental,India,Amritsar,Startup Buddy,Seed Funding,300000,2019,November
2019-10-21,The Man Company,E-Commerce,Beauty and Grooming,India,Gurugram,Ayushmann Khurana,Corporate Round,,2019,October
2019-10-04,Dunzo,SaaS & Enterprise Tech,Delivery Service,India,Bengaluru,Lightbox,Series D,45000000,2019,October
2019-10-02,Udaan,Consumer Internet,Business development,India,Bengaluru,"Altimeter Capital, DST Global",Series D,585000000,2019,October
2019-09-05,FPL Technologies,FinTech,Financial Services,India,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000,2019,September
2019-09-04,3rdFlix,SaaS & Enterprise Tech,Education Technology,India,Hyderabad,Exfinity Venture Partners,Pre Series A,5000000,2019,September
2019-09-04,75F,SaaS & Enterprise Tech,Building automation system,USA,Burnsville,Breakthrough Energy Ventures,Series A,18000000,2019,September
2019-09-04,Atomberg Technology,SaaS & Enterprise Tech,"Consumer Electronics, Home Appliances",India,Mumbai,A91 Partners,Series A,10000000,2019,September
